comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
L'énergie solaire sur le toit de l'immeuble et la végétalisation.,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.5550181879981565,0.5611613052471947,15.159522,19.825808,-8.832530707120895,-4.663381457328796
Installation de panneaux solaires sur l'ensemble des toits des immeubles et pavillons. Utilisation de la Géothermie.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.044210502927560465,-0.4742511933698047,24.752014,3.96438,-9.446327775716782,-4.95570969581604
Une aide pour la production d'électricité par panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.6863019826454915,1.440778228524087,25.475542,16.109446,-10.77061116695404,-5.393982231616974
Favoriser les panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,1.4202905594015236,0.8540240971343848,26.49958,11.024547,-10.409446239471436,-5.055682718753815
"développer l'énergie photovoltaïque, panneaux solaires sur les immeubles toits en terrasse, récupération de la chaleur provenant de l'incinération des déchets...","panneaux solaire ,géothermie",1196,0.13346724695904474,-0.14991202329922418,0.6285826281033333,25.246428,3.8814805,-9.383366346359253,-4.941633343696594
Aide pour installation de panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-1.2679113640366038,1.1078170090923123,23.556467,11.090851,-10.242238283157349,-4.889703631401062
Aide à l'installation de panneaux solaires.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.6805951748865583,-0.19549162969252767,23.74212,11.059318,-10.228309750556946,-4.870386600494385
aide à l'installation de panneaux solaires,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.1859474273103425,-0.06550621006370044,23.741842,11.059527,-10.228301167488098,-4.87038254737854
Chauffage par accumulation d'énergie solaire.,"panneaux solaire ,géothermie",1196,0.13346724695904474,-0.27044674980463296,-1.5592761730031615,1.911732,4.4255815,-8.141829907894135,-5.940292339771986
Favoriser l’énergie solaire,"panneaux solaire ,géothermie",1196,0.13346724695904474,0.42251938007718876,-0.15675917441074233,18.328947,30.85601,-7.78353214263916,-7.429932236671448
